id,party_id,canonical_name,slug,declaration_year,tax_year,valid_choices,pct_total_taxpayers,pct_valid_choices,amount,pct_amount,avg_amount_per_choice,rank_choices,rank_amount,rank_avg_amount,choices_delta_abs,choices_delta_pct,amount_delta_abs,amount_delta_pct,amount_vs_choices_share_gap,amount_vs_choices_rank_gap,source_id
34,7,"Partito Demo G",partito-demo-g,2023,2022,117137,0.28710,4.22764,2492675.36,5.22001,21.28,7,6,1,-7233,-5.82,-494692.04,-16.56,0.99237,-1,1
39,8,"Partito Demo H",partito-demo-h,2023,2022,64800,0.15882,2.33872,1023840.00,2.14406,15.80,8,8,6,7298,12.69,125083.74,13.92,-0.19466,0,1
5,1,"Partito Demo A",partito-demo-a,2024,2023,941704,2.29684,32.50119,16112555.44,32.32733,17.11,1,1,4,-5762,-0.61,-259657.04,-1.59,-0.17386,0,1
10,2,"Partito Demo B",partito-demo-b,2024,2023,553581,1.35020,19.10583,8259428.52,16.57126,14.92,2,3,7,49659,9.85,-20009.94,-0.24,-2.53457,1,1
15,3,"Partito Demo C",partito-demo-c,2024,2023,511835,1.24838,17.66505,10927677.25,21.92468,21.35,3,2,2,50233,10.88,1861813.97,20.54,4.25963,-1,1
20,4,"Partito Demo D",partito-demo-d,2024,2023,407223,0.99323,14.05455,6100200.54,12.23910,14.98,4,4,6,41232,11.27,581056.26,10.53,-1.81545,0,1
25,5,"Partito Demo E",partito-demo-e,2024,2023,182019,0.44395,6.28205,3472922.52,6.96788,19.08,5,5,3,8937,5.16,217250.10,6.67,0.68583,0,1
30,6,"Partito Demo F",partito-demo-f,2024,2023,126368,0.30821,4.36136,1523998.08,3.05766,12.06,6,7,8,-10377,-7.59,-219500.67,-12.59,-1.30370,1,1
35,7,"Partito Demo G",partito-demo-g,2024,2023,113057,0.27575,3.90195,2504212.55,5.02431,22.15,7,6,1,-4080,-3.48,11537.19,0.46,1.12236,-1,1
40,8,"Partito Demo H",partito-demo-h,2024,2023,61658,0.15039,2.12801,940901.08,1.88777,15.26,8,8,5,-3142,-4.85,-82938.92,-8.10,-0.24024,0,1
